CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID
3501005,South Glengarry,TP,35R5024
3501007,Akwesasne (Part) 59,IRI,3501007
3501011,South Stormont,TP,3501011
3501012,Cornwall,CY,3501012
3501020,South Dundas,MU,35R4032
3501030,North Dundas,TP,35R5019
3501042,North Stormont,TP,35R3046
3501050,North Glengarry,TP,35R5020
3502001,East Hawkesbury,TP,35R3066
3502008,Hawkesbury,T,3502008
3502010,Champlain,TP,35R5012
3502023,Alfred and Plantagenet,TP,35R5008
3502025,The Nation / La Nation,M,3502025
3502036,Clarence-Rockland,C,3502036
3502044,Casselman,VL,35R5011
3502048,Russell,TP,3502048
3506008,Ottawa,CV,3506008
3507004,Edwardsburgh/Cardinal,TP,35R5006
3507006,Augusta,TP,3507006
3507008,Prescott,T,35R3007
3507014,Elizabethtown-Kitley,TP,3507014
3507015,Brockville,CY,3507015
3507017,Front of Yonge,TP,35R3082
3507021,Leeds and the Thousand Islands,TP,35R3079
3507024,Gananoque,T,35R3006
3507033,Westport,VL,35R1068
3507040,Rideau Lakes,TP,35R5022
3507042,Athens,TP,35R3008
3507052,Merrickville-Wolford,VL,35R3089
3507065,North Grenville,MU,3507065
3509001,Montague,TP,35R4059
3509004,Smiths Falls,T,35R5023
3509010,Drummond/North Elmsley,TP,35R4050
3509015,Tay Valley,TP,35R5007
3509021,Perth,T,35R3096
3509024,Beckwith,TP,35R4010
3509028,Carleton Place,T,35R5010
3509030,Mississippi Mills,T,3509030
3509039,Lanark Highlands,TP,35R4028
3510005,Frontenac Islands,TP,3510005
3510010,Kingston,CY,3510010
3510020,South Frontenac,TP,3510020
3510035,Central Frontenac,TP,35R4046
3510045,North Frontenac,TP,35R3005
3511005,Loyalist,TP,3511005
3511015,Greater Napanee,T,3511015
3511030,Stone Mills,TP,35R3021
3511035,Addington Highlands,TP,35R3012
3512001,Tyendinaga,TP,35R4013
3512002,Deseronto,T,35R3064
3512004,Tyendinaga Mohawk Territory,IRI,3512004
3512005,Belleville,CY,3512005
3512015,Quinte West,CY,3512015
3512020,Stirling-Rawdon,TP,35R3022
3512026,Centre Hastings,MU,35R4034
3512030,Tweed,MU,35R5025
3512036,Madoc,TP,35R3081
3512046,Marmora and Lake,MU,35R4030
3512048,Tudor and Cashel,TP,35R1066
3512051,Limerick,TP,35R1044
3512054,Wollaston,TP,35R1070
3512058,Faraday,TP,35R3071
3512061,Bancroft,T,35R3050
3512065,Carlow/Mayo,TP,35R1014
3512076,Hastings Highlands,MU,35R3014
3513020,Prince Edward County,CY,3513020
3514004,Brighton,MU,3514004
3514014,Cramahe,TP,35R4009
3514019,Hamilton,TP,35R5030
3514020,Port Hope,MU,3514020
3514021,Cobourg,T,3514021
3514024,Alnwick/Haldimand,TP,35R5003
3514027,Alderville First Nation,IRI,3514027
3514045,Trent Hills,MU,3514045
3515003,Asphodel-Norwood,TP,35R3023
3515005,Otonabee-South Monaghan,TP,3515005
3515008,Hiawatha First Nation,IRI,3515008
3515013,Cavan Monaghan,TP,3515013
3515014,Peterborough,CY,3515014
3515015,Selwyn,TP,3515015
3515019,Curve Lake First Nation 35,IRI,3515019
3515023,Douro-Dummer,TP,3515023
3515030,Havelock-Belmont-Methuen,TP,35R3073
3515037,North Kawartha,TP,35R3025
3515044,Trent Lakes,MU,35R3026
3516010,Kawartha Lakes,CY,3516010
3518001,Pickering,CY,3518001
3518005,Ajax,T,3518005
3518009,Whitby,T,3518009
3518013,Oshawa,CY,3518013
3518017,Clarington,MU,3518017
3518020,Scugog,TP,3518020
3518022,Mississaugas of Scugog Island,IRI,3518022
3518029,Uxbridge,TP,3518029
3518039,Brock,TP,3518039
3519028,Vaughan,CY,3519028
3519036,Markham,CY,3519036
3519038,Richmond Hill,T,3519038
3519044,Whitchurch-Stouffville,T,3519044
3519046,Aurora,T,3519046
3519048,Newmarket,T,3519048
3519049,King,TP,3519049
3519054,East Gwillimbury,T,3519054
3519070,Georgina,T,3519070
3519076,Chippewas of Georgina Island First Nation,IRI,3519076
3520005,Toronto,C,3520005
3521005,Mississauga,CY,3521005
3521010,Brampton,CY,3521010
3521024,Caledon,T,3521024
3522001,East Garafraxa,TP,35R3015
3522008,Amaranth,TP,35R3004
3522010,Grand Valley,T,35R3002
3522012,Mono,T,3522012
3522014,Orangeville,T,3522014
3522016,Mulmur,TP,35R5005
3522019,Melancthon,TP,35R3088
3522021,Shelburne,T,35R4020
3523001,Puslinch,TP,3523001
3523008,Guelph,CY,3523008
3523009,Guelph/Eramosa,TP,3523009
3523017,Erin,T,3523017
3523025,Centre Wellington,TP,3523025
3523033,Mapleton,TP,35R3084
3523043,Minto,T,35R3016
3523050,Wellington North,TP,35R4035
3524001,Oakville,T,3524001
3524002,Burlington,CY,3524002
3524009,Milton,T,3524009
3524015,Halton Hills,T,3524015
3525005,Hamilton,C,3525005
3526003,Fort Erie,T,3526003
