CSDUID,CSDNAME,CSDTYPE,CMHC_CSDUID,METCODE
3543009,Springwater,TP,3543009,0120
3543017,Innisfil,T,3543017,0120
3543042,Barrie,CY,3543042,0120
3512001,Tyendinaga,TP,35R4013,0122
3512020,Stirling-Rawdon,TP,35R3022,0122
3512015,Quinte West,CY,3512015,0122
3512005,Belleville,CY,3512005,0122
3529006,Brantford,CY,3529006,0125
3529005,Brant,CY,3529005,0125
3523001,Puslinch,TP,3523001,0460
3523009,Guelph/Eramosa,TP,3523009,0460
3523008,Guelph,CY,3523008,0460
3524002,Burlington,CY,3524002,0610
3525005,Hamilton,C,3525005,0610
3526065,Grimsby,T,3526065,0610
3510020,South Frontenac,TP,3510020,0700
3511005,Loyalist,TP,3511005,0700
3510005,Frontenac Islands,TP,3510005,0700
3510010,Kingston,CY,3510010,0700
3530035,Woolwich,TP,3530035,0850
3530010,Cambridge,CY,3530010,0850
3530013,Kitchener,CY,3530013,0850
3530004,North Dumfries,TP,3530004,0850
3530016,Waterloo,CY,3530016,0850
3530020,Wilmot,TP,35R4047,0850
3539033,Middlesex Centre,MU,3539033,0950
3539036,London,CY,3539036,0950
3534020,Central Elgin,MU,3534020,0950
3539047,Adelaide-Metcalfe,TP,3539047,0950
3534024,Southwold,TP,3534024,0950
3539015,Strathroy-Caradoc,MU,3539015,0950
3539027,Thames Centre,MU,3539027,0950
3534021,St. Thomas,CY,3534021,0950
3526043,Niagara Falls,CY,3526043,1160
3526011,Port Colborne,CY,3526011,1160
3526057,Lincoln,T,3526057,1160
3526003,Fort Erie,T,3526003,1160
3526047,Niagara-on-the-Lake,T,3526047,1160
3526028,Pelham,T,3526028,1160
3526032,Welland,CY,3526032,1160
3526014,Wainfleet,TP,3526014,1160
3526037,Thorold,CY,3526037,1160
3526053,St. Catharines,CY,3526053,1160
3518013,Oshawa,CY,3518013,1250
3518009,Whitby,T,3518009,1250
3518017,Clarington,MU,3518017,1250
3502048,Russell,TP,3502048,1265
3502036,Clarence-Rockland,C,3502036,1265
3547003,McNab/Braeside,TP,35R4016,1265
3547002,Arnprior,T,35R4062,1265
3507065,North Grenville,MU,3507065,1265
3509028,Carleton Place,T,35R5010,1265
3506008,Ottawa,CV,3506008,1265
3509024,Beckwith,TP,35R4010,1265
3509030,Mississippi Mills,T,3509030,1265
3515013,Cavan Monaghan,TP,3515013,1320
3515023,Douro-Dummer,TP,3515023,1320
3515005,Otonabee-South Monaghan,TP,3515005,1320
3515014,Peterborough,CY,3515014,1320
3515015,Selwyn,TP,3515015,1320
,,,,2000
3553005,Greater Sudbury / Grand Sudbury,CV,3553005,2000
3552004,St.-Charles,MU,35R3107,2000
3558028,Shuniah,MU,3558028,2240
3558011,Oliver Paipoonge,MU,3558011,2240
3558016,O'Connor,TP,3558016,2240
3558001,Neebing,MU,3558001,2240
3558012,Gillies,TP,3558012,2240
3558019,Conmee,TP,3558019,2240
3558004,Thunder Bay,CY,3558004,2240
3519054,East Gwillimbury,T,3519054,2270
3524015,Halton Hills,T,3524015,2270
3524001,Oakville,T,3524001,2270
3519048,Newmarket,T,3519048,2270
3543007,New Tecumseth,T,3543007,2270
3522012,Mono,T,3522012,2270
3521005,Mississauga,CY,3521005,2270
3524009,Milton,T,3524009,2270
3519070,Georgina,T,3519070,2270
3519036,Markham,CY,3519036,2270
3519049,King,TP,3519049,2270
3521024,Caledon,T,3521024,2270
3521010,Brampton,CY,3521010,2270
3520005,Toronto,C,3520005,2270
3519046,Aurora,T,3519046,2270
3518005,Ajax,T,3518005,2270
3522014,Orangeville,T,3522014,2270
3519038,Richmond Hill,T,3519038,2270
3519044,Whitchurch-Stouffville,T,3519044,2270
3519028,Vaughan,CY,3519028,2270
3518029,Uxbridge,TP,3518029,2270
3543014,Bradford West Gwillimbury,T,3543014,2270
3518001,Pickering,CY,3518001,2270
3537039,Windsor,CY,3537039,2640
3537048,Tecumseh,T,3537048,2640
3537034,LaSalle,T,3537034,2640
3537028,Amherstburg,T,3537028,2640
3537003,Leamington,MU,3537003,2640
3537013,Kingsville,T,3537013,2640
3537016,Essex,T,3537016,2640
3537064,Lakeshore,T,3537064,2640
3536020,Chatham-Kent,MU,3536020,3320
3501012,Cornwall,CY,3501012,3420
3501011,South Stormont,TP,3501011,3420
3516010,Kawartha Lakes,CY,3516010,4230
3528052,Norfolk County,CY,3528052,4490
3549060,Powassan,MU,35R3099,4510
3548034,East Ferris,MU,3548034,4510
3548094,"Nipissing, Unorganized, North Part",NO,3548094,4510
3549071,Nipissing,TP,35R3094,4510
3549066,Callander,MU,3549066,4510
3548027,Bonfield,TP,3548027,4510
3548044,North Bay,CY,3548044,4510
3548031,Chisholm,TP,35R3059,4510
3538030,Sarnia,CY,3538030,5250
3538003,St. Clair,TP,3538003,5250
3538035,Plympton-Wyoming,T,35R3098,5250
3538031,Point Edward,VL,3538031,5250
3557011,Laird,TP,3557011,5280
3557066,Prince,TP,3557066,5280
3557061,Sault Ste. Marie,CY,3557061,5280
3557051,"Macdonald, Meredith and Aberdeen Additional",TP,3557051,5280
3544018,Bracebridge,T,3544018,6035
3514004,Brighton,MU,3514004,6046
3518039,Brock,TP,3518039,6048
3514045,Trent Hills,MU,3514045,6057
3523017,Erin,T,3523017,6157
3528018,Haldimand County,CY,3528018,6175
3544002,Gravenhurst,T,3544002,6195
3511015,Greater Napanee,T,3511015,6205
3542015,Grey Highlands,MU,35R4021,6209
3544042,Huntsville,T,3544042,6230
3541024,Kincardine,MU,3541024,6245
3538040,Lambton Shores,MU,3538040,6295
3542047,Meaford,MU,3542047,6345
3531040,North Perth,MU,3531040,6427
3513020,Prince Edward County,CY,3513020,6505
3541045,Saugeen Shores,T,3541045,6548
3540005,South Huron,MU,35R4015,6549
3501020,South Dundas,MU,35R4032,6550
3518020,Scugog,TP,3518020,6552
3502025,The Nation / La Nation,M,3502025,6583
3548055,West Nipissing / Nipissing Ouest,M,3548055,6623
3542004,West Grey,MU,3542004,6627
3507015,Brockville,CY,3507015,7090
3507014,Elizabethtown-Kitley,TP,3507014,7090
3523025,Centre Wellington,TP,3523025,7127
3514021,Cobourg,T,3514021,7165
3543031,Collingwood,T,3543031,7170
3557041,Elliot Lake,CY,3557041,7245
3543021,Essa,TP,35R4018,7250
3502008,Hawkesbury,T,3502008,7330
3532018,Ingersoll,T,3532018,7333
3560010,Kenora,CY,3560010,7360
3543074,Midland,T,3543074,7465
3543072,Penetanguishene,T,3543072,7465
3543052,Orillia,CY,3543052,7529
3542053,Georgian Bluffs,TP,3542053,7537
3542059,Owen Sound,CY,3542059,7537
3547075,Laurentian Valley,TP,3547075,7540
3547064,Pembroke,CY,3547064,7540
3547076,Petawawa,T,3547076,7555
3514020,Port Hope,MU,3514020,7572
3531011,Stratford,CY,3531011,7685
3532004,Tillsonburg,T,3532004,7733
3556027,Timmins,CY,3556027,7734
3543064,Wasaga Beach,T,3543064,7836
3532042,Woodstock,CY,3532042,7855
