CTUID,CSDUID,CSDNAME,METCODE,METNAME_EN,NBHDCODE,NBHDNAME_EN,CMHC_CT,GeographyId
5680001.01,3543042,Barrie,0120,Barrie,650,South Barrie,0001.01,01206500001.01
5680001.02,3543042,Barrie,0120,Barrie,650,South Barrie,0001.02,01206500001.02
5680001.04,3543042,Barrie,0120,Barrie,650,South Barrie,0001.04,01206500001.04
5680001.05,3543042,Barrie,0120,Barrie,650,South Barrie,0001.05,01206500001.05
5680001.06,3543042,Barrie,0120,Barrie,650,South Barrie,0001.06,01206500001.06
5680001.07,3543042,Barrie,0120,Barrie,650,South Barrie,0001.07,01206500001.07
5680002.00,3543042,Barrie,0120,Barrie,650,South Barrie,0002.00,01206500002.00
5680003.00,3543042,Barrie,0120,Barrie,650,South Barrie,0003.00,01206500003.00
5680004.01,3543042,Barrie,0120,Barrie,650,South Barrie,0004.01,01206500004.01
5680004.03,3543042,Barrie,0120,Barrie,650,South Barrie,0004.03,01206500004.03
5680004.04,3543042,Barrie,0120,Barrie,650,South Barrie,0004.04,01206500004.04
5680004.05,3543042,Barrie,0120,Barrie,650,South Barrie,0004.05,01206500004.05
5680004.06,3543042,Barrie,0120,Barrie,650,South Barrie,0004.06,01206500004.06
5680004.07,3543042,Barrie,0120,Barrie,650,South Barrie,0004.07,01206500004.07
5680005.00,3543042,Barrie,0120,Barrie,650,South Barrie,0005.00,01206500005.00
5680006.00,3543042,Barrie,0120,Barrie,130,Downtown,0006.00,01201300006.00
5680007.00,3543042,Barrie,0120,Barrie,130,Downtown,0007.00,01201300007.00
5680008.00,3543042,Barrie,0120,Barrie,260,West End,0008.00,01202600008.00
5680009.00,3543042,Barrie,0120,Barrie,260,West End,0009.00,01202600009.00
5680010.00,3543042,Barrie,0120,Barrie,260,West End,0010.00,01202600010.00
5680011.01,3543042,Barrie,0120,Barrie,390,North Barrie,0011.01,01203900011.01
5680011.02,3543042,Barrie,0120,Barrie,390,North Barrie,0011.02,01203900011.02
5680012.01,3543042,Barrie,0120,Barrie,390,North Barrie,0012.01,01203900012.01
5680012.02,3543042,Barrie,0120,Barrie,390,North Barrie,0012.02,01203900012.02
5680013.00,3543042,Barrie,0120,Barrie,130,Downtown,0013.00,01201300013.00
5680014.00,3543042,Barrie,0120,Barrie,520,East End,0014.00,01205200014.00
5680015.01,3543042,Barrie,0120,Barrie,520,East End,0015.01,01205200015.01
5680015.02,3543042,Barrie,0120,Barrie,520,East End,0015.02,01205200015.02
5680015.03,3543042,Barrie,0120,Barrie,520,East End,0015.03,01205200015.03
5680016.00,3543042,Barrie,0120,Barrie,390,North Barrie,0016.00,01203900016.00
5680100.00,3543017,Innisfil,0120,Barrie,910,Innisfil,0100.00,01209100100.00
5680101.00,3543017,Innisfil,0120,Barrie,910,Innisfil,0101.00,01209100101.00
5680102.01,3543017,Innisfil,0120,Barrie,910,Innisfil,0102.01,01209100102.01
5680102.02,3543042,Barrie,0120,Barrie,910,Innisfil,0102.02,01209100102.02
5680102.03,3543017,Innisfil,0120,Barrie,910,Innisfil,0102.03,01209100102.03
5680102.04,3543042,Barrie,0120,Barrie,910,Innisfil,0102.04,01209100102.04
5680103.01,3543017,Innisfil,0120,Barrie,910,Innisfil,0103.01,01209100103.01
5680103.02,3543017,Innisfil,0120,Barrie,910,Innisfil,0103.02,01209100103.02
5680104.00,3543017,Innisfil,0120,Barrie,910,Innisfil,0104.00,01209100104.00
5680200.00,3543009,Springwater,0120,Barrie,780,Springwater,0200.00,01207800200.00
5680201.00,3543009,Springwater,0120,Barrie,780,Springwater,0201.00,01207800201.00
5680202.00,3543009,Springwater,0120,Barrie,780,Springwater,0202.00,01207800202.00
5220001.00,3512005,Belleville,0122,Belleville,520,Belleville (East),0001.00,01225200001.00
5220002.00,3512005,Belleville,0122,Belleville,520,Belleville (East),0002.00,01225200002.00
5220003.00,3512005,Belleville,0122,Belleville,130,Belleville (Southwest),0003.00,01221300003.00
5220004.00,3512005,Belleville,0122,Belleville,130,Belleville (Southwest),0004.00,01221300004.00
5220005.00,3512005,Belleville,0122,Belleville,130,Belleville (Southwest),0005.00,01221300005.00
5220006.00,3512005,Belleville,0122,Belleville,130,Belleville (Southwest),0006.00,01221300006.00
5220007.00,3512005,Belleville,0122,Belleville,130,Belleville (Southwest),0007.00,01221300007.00
5220008.00,3512005,Belleville,0122,Belleville,260,Downtown,0008.00,01222600008.00
5220009.00,3512005,Belleville,0122,Belleville,520,Belleville (East),0009.00,01225200009.00
5220010.00,3512005,Belleville,0122,Belleville,520,Belleville (East),0010.00,01225200010.00
5220011.00,3512005,Belleville,0122,Belleville,390,Belleville (Northwest),0011.00,01223900011.00
5220012.00,3512005,Belleville,0122,Belleville,390,Belleville (Northwest),0012.00,01223900012.00
5220013.00,3512005,Belleville,0122,Belleville,390,Belleville (Northwest),0013.00,01223900013.00
5220014.00,3512005,Belleville,0122,Belleville,390,Belleville (Northwest),0014.00,01223900014.00
5220015.00,3512005,Belleville,0122,Belleville,390,Belleville (Northwest),0015.00,01223900015.00
5220200.00,3512005,Belleville,0122,Belleville,650,Belleville (Rural),0200.00,01226500200.00
